network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2001:470:26:b6d::/64,2782113,6252001,,0,0
2001:470:26:b6e::/63,2658434,6252001,,0,0
2001:470:26:b70::/60,2658434,6252001,,0,0
2001:470:26:b80::/57,2658434,6252001,,0,0
2001:470:26:c00::/54,2658434,6252001,,0,0
2001:470:26:1000::/52,2658434,6252001,,0,0
2001:470:26:2000::/51,2658434,6252001,,0,0
2001:470:26:4000::/50,2658434,6252001,,0,0
2001:470:26:8000::/49,2658434,6252001,,0,0
2001:470:27::/56,2658434,6252001,,0,0
2001:470:27:100::/57,2658434,6252001,,0,0
2001:470:27:180::/59,2658434,6252001,,0,0
2001:470:27:1a0::/62,2658434,6252001,,0,0
2001:470:27:1a4::/63,2658434,6252001,,0,0
2001:470:27:1a6::/64,2017370,6252001,,0,0
2001:470:27:1a7::/64,2658434,6252001,,0,0
2001:470:27:1a8::/61,2658434,6252001,,0,0
2001:470:27:1b0::/60,2658434,6252001,,0,0
2001:470:27:1c0::/58,2658434,6252001,,0,0
2001:470:27:200::/55,2658434,6252001,,0,0
2001:470:27:400::/54,2658434,6252001,,0,0
2001:470:27:800::/56,2658434,6252001,,0,0
2001:470:27:900::/59,2658434,6252001,,0,0
2001:470:27:920::/60,2658434,6252001,,0,0
2001:470:27:930::/62,2658434,6252001,,0,0
2001:470:27:934::/63,2658434,6252001,,0,0
2001:470:27:936::/64,2658434,6252001,,0,0
2001:470:27:937::/64,2661886,6252001,,0,0
2001:470:27:938::/61,2658434,6252001,,0,0
2001:470:27:940::/58,2658434,6252001,,0,0
2001:470:27:980::/57,2658434,6252001,,0,0
2001:470:27:a00::/55,2658434,6252001,,0,0
2001:470:27:c00::/54,2658434,6252001,,0,0
2001:470:27:1000::/52,2658434,6252001,,0,0
2001:470:27:2000::/51,2658434,6252001,,0,0
2001:470:27:4000::/50,2658434,6252001,,0,0
2001:470:27:8000::/49,2658434,6252001,,0,0
2001:470:28::/59,6252001,6252001,,0,0
2001:470:28:20::/60,6252001,6252001,,0,0
2001:470:28:30::/62,6252001,6252001,,0,0
2001:470:28:34::/63,6252001,6252001,,0,0
2001:470:28:36::/64,2661886,6252001,,0,0
2001:470:28:37::/64,6252001,6252001,,0,0
2001:470:28:38::/61,6252001,6252001,,0,0
2001:470:28:40::/58,6252001,6252001,,0,0
2001:470:28:80::/59,6252001,6252001,,0,0
2001:470:28:a0::/61,6252001,6252001,,0,0
2001:470:28:a8::/64,2661886,6252001,,0,0
2001:470:28:a9::/64,6252001,6252001,,0,0
